Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
29.1942	-87.3508	1998	5	5	720.9	34.893	3.287	NA	NA
27.4978	-85.4129	1998	5	6	36.5	36.448	4.85	NA	NA
27.5002	-85.2264	1998	5	6	28.9	4.845	NA	NA	NA
27.5004	-85.0834	1998	5	6	72.7	4.906	NA	NA	NA
27.4995	-84.8891	1998	5	6	8.7	4.882	NA	NA	NA
27.5008	-84.683	1998	5	6	18.8	4.936	NA	NA	NA
27.4991	-84.3379	1998	5	6	10	4.929	NA	NA	NA
27.5009	-83.9437	1998	5	6	1.8	5.055	NA	NA	NA
27.5005	-83.4957	1998	5	6	9.1	5.322	NA	NA	NA
27.4995	-83.0306	1998	5	7	4.3	5.237	NA	NA	NA
27.4972	-82.8538	1998	5	7	4	33.735	5.202	NA	NA
28.6095	-83.0557	1998	5	7	1.9	31.336	4.903	NA	NA
28.5104	-83.3575	1998	5	7	10.1	5.131	NA	NA	NA
28.4007	-83.7009	1998	5	7	1.8	5.164	NA	NA	NA
28.2871	-84.0593	1998	5	7	6.6	5.227	NA	NA	NA
28.1748	-84.4042	1998	5	7	1.9	5.136	NA	NA	NA
28.4088	-85.3932	1998	5	8	17.4	4.983	NA	NA	NA
28.0767	-84.7066	1998	5	8	15.2	5.183	NA	NA	NA
28.0231	-84.8778	1998	5	8	15.5	4.981	NA	NA	NA
27.9593	-85.0712	1998	5	8	24.2	4.949	NA	NA	NA
27.9025	-85.2583	1998	5	8	20.1	4.953	NA	NA	NA
27.8529	-85.4131	1998	5	8	30.2	4.945	NA	NA	NA
27.7808	-85.6406	1998	5	8	42.8	36.323	4.944	NA	NA
28.0017	-86.0689	1998	5	8	32.9	36.407	4.912	NA	NA
28.1125	-85.8743	1998	5	8	29.4	4.914	NA	NA	NA
28.1999	-85.7439	1998	5	8	24.7	4.872	NA	NA	NA
28.3097	-85.5625	1998	5	8	25.6	5.132	NA	NA	NA
28.508	-85.2357	1998	5	9	4.2	5.065	NA	NA	NA
28.6226	-85.0477	1998	5	9	11.8	5.144	NA	NA	NA
28.8387	-84.6941	1998	5	9	13.6	5.407	NA	NA	NA
29.1055	-84.2572	1998	5	9	8.9	5.141	NA	NA	NA
29.345	-83.8626	1998	5	9	8.9	4.981	NA	NA	NA
29.5054	-83.6001	1998	5	9	3.9	29.51	4.999	NA	NA
29.6195	-84.7856	1998	5	9	2.7	33.78	5.038	NA	NA
29.4037	-84.9967	1998	5	10	8	5.045	NA	NA	NA
29.2049	-85.2713	1998	5	10	7.1	5.152	NA	NA	NA
28.9871	-85.5254	1998	5	10	19.7	5.159	NA	NA	NA
28.8289	-85.7233	1998	5	10	18	5.048	NA	NA	NA
28.6063	-85.9729	1998	5	10	17.4	5.015	NA	NA	NA
28.4015	-86.2145	1998	5	10	28.5	4.796	NA	NA	NA
28.2948	-86.3398	1998	5	10	22.5	4.951	NA	NA	NA
28.1199	-86.5502	1998	5	10	24.8	36.372	4.964	NA	NA
28.3581	-87.0023	1998	5	10	17.9	36.228	4.995	NA	NA
30.179	-85.8853	1998	5	11	2.2	35.35	5.45	NA	NA
28.5563	-86.7736	1998	5	11	19.8	4.958	NA	NA	NA
28.7117	-86.5987	1998	5	11	18.8	5.045	NA	NA	NA
28.8608	-86.423	1998	5	11	14	5.023	NA	NA	NA
29.0159	-86.2476	1998	5	11	13.7	5.056	NA	NA	NA
29.2048	-86.0318	1998	5	11	9.1	5.084	NA	NA	NA
29.2925	-85.9316	1998	5	11	2.4	5.064	NA	NA	NA
29.4996	-85.6956	1998	5	11	4.7	5.396	NA	NA	NA
29.6861	-85.4786	1998	5	11	7.8	5.398	NA	NA	NA
29.7365	-85.4215	1998	5	11	5	32.861	5.064	NA	NA
